index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_concretize,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_num_sync_cvx_cls,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_gen_global_cvx_cls,time_spacer_solve_reach_is_reach
chc-lia-nonlin-0094.smt2,,2907,,22,,16,2823,,79,1,87,86,,2852,309,4,3223,2941,89,15029,7,3492,,,284,6158,39,,5,3443,6616,37,2945,11,346.91,338.76,timeout,595.51,559.09,167.84,75.84,2.79,0.00,0.00,4.87,590.12,160.84,0.01,428.80,8.92,3.77,21.66,10.03,0.05,0.16
chc-lia-nonlin-0095.smt2,3,,,,,,,,,,3,3,,,4,,2,,,6,,6,,,3,,3,,,5,1,,,,28.48,7.28,unsat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0096.smt2,,,,1,,,,1,7,1,11,11,,,13,,25,8,38,200,,85,,,55,113,1,,1,75,12,17,10,2,89.72,43.46,sat,0.50,0.29,0.13,,0.00,0.00,0.00,0.02,0.45,0.11,,0.31,0.04,0.03,0.05,0.02,0.00,0.00
chc-lia-nonlin-0097.smt2,,,,,,,,2,,,5,5,,,15,,10,,11,44,2,29,,,11,22,,,,23,3,,,,90.04,35.47,sat,0.16,0.05,0.01,,0.00,0.01,0.00,0.00,0.08,0.02,,0.05,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0098.smt2,1,,,,,,,,,,1,1,,,1,,,,,,,1,,,1,,1,,,,1,,,,26.92,6.54,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,
chc-lia-nonlin-0099.smt2,,,,,,,,1,,,3,3,,,6,,2,,7,16,1,13,,,7,11,,,,9,,,,,21.16,8.69,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0100.smt2,3,,,,,,,,,,3,3,,,5,,1,,,7,,7,,,4,,3,,,6,1,,,,32.68,8.35,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0101.smt2,,,,,,,,1,,,2,2,,,5,,,,4,7,1,8,,,5,4,,,,5,,,,,19.40,7.59,sat,0.02,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0102.smt2,,,,,,,,2,,1,4,4,,,11,,9,,7,33,,22,,,12,13,1,,,16,5,2,1,,41.36,18.22,sat,0.13,0.07,0.04,,0.00,0.00,0.00,0.01,0.11,0.01,0.00,0.08,0.01,0.00,0.03,0.00,0.00,
chc-lia-nonlin-0103.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,27.76,7.00,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0104.smt2,3,,,,,,,,,,3,3,,,5,,2,,1,11,,8,,,6,5,3,,,7,1,,,,29.20,7.78,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0105.smt2,,,,,,,,4,,,5,5,,,12,,3,,10,50,,20,,,9,34,,,,15,2,,,,43.20,17.83,sat,0.09,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.02,,0.03,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0106.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,18.96,7.10,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0107.smt2,6,4,,23,7,15,,,1,,6,6,,,12,,18,,1,43,,31,,,23,9,6,,,25,1,,,,34.40,11.07,unsat,0.12,0.04,0.02,,0.00,0.00,0.00,0.00,0.10,0.01,,0.08,0.01,0.01,0.01,0.01,,0.01
chc-lia-nonlin-0108.smt2,,43,,38,26,3,4,10,11,3,12,12,22,54,27,,49,14,27,264,10,113,,,54,158,6,22,,93,5,25,37,15,63.08,36.48,sat,1.26,0.30,0.14,0.00,0.01,0.00,0.00,0.02,1.22,0.09,,1.08,0.04,0.05,0.03,0.72,0.00,0.04
chc-lia-nonlin-0109.smt2,11,26,,53,11,31,,,4,1,11,11,,32,36,,27,,1,220,,73,,,49,102,11,,,59,1,16,20,,53.92,23.66,unsat,0.36,0.17,0.09,,0.00,0.00,0.00,0.01,0.33,0.07,,0.22,0.02,0.03,0.03,0.03,0.00,0.02
chc-lia-nonlin-0110.smt2,21,183,,122,21,77,,,13,2,21,21,,147,91,,69,20,1,1008,3,236,,,120,564,35,1,,192,17,117,116,16,140.12,76.44,unsat,1.90,1.18,0.64,,0.04,0.00,0.00,0.03,1.84,0.61,,1.15,0.09,0.11,0.14,0.19,0.00,0.10
chc-lia-nonlin-0111.smt2,26,298,,149,28,86,,,18,2,26,26,,266,132,,79,24,1,1749,9,356,,,191,1040,26,6,4,342,1,244,170,,213.84,128.25,unsat,3.46,2.24,1.20,,0.08,0.00,0.00,0.06,3.38,1.28,,1.99,0.21,0.21,0.21,0.30,0.00,0.13
chc-lia-nonlin-0112.smt2,,159,,38,26,2,44,19,21,3,22,22,110,164,55,1,124,14,33,835,43,252,,7,101,431,37,110,1,226,35,68,124,57,126.04,74.55,sat,9.37,1.59,0.75,0.10,0.04,0.00,0.00,0.05,9.30,0.71,,8.49,0.14,0.13,0.06,7.13,0.00,0.14
chc-lia-nonlin-0113.smt2,16,129,,102,15,54,105,,10,1,16,16,,99,56,,48,,1,543,1,145,,,65,210,16,,,132,1,31,90,,78.76,39.45,unsat,0.99,0.60,0.11,0.27,0.01,0.00,0.00,0.02,0.95,0.29,,0.60,0.05,0.05,0.06,0.09,0.00,0.03
chc-lia-nonlin-0114.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,4.49,sat,0.00,,,,,0.00,,,,,,,,,,,,
chc-lia-nonlin-0115.smt2,,,,5,3,1,,3,3,1,4,4,,,11,,6,2,9,33,,21,,,15,19,1,,,15,1,1,2,,29.00,13.80,sat,0.11,0.04,0.02,,0.00,0.00,0.00,0.00,0.08,0.01,,0.06,0.00,0.01,0.02,0.01,0.00,0.00
chc-lia-nonlin-0116.smt2,3,,,,,,,,,,3,3,,,5,,2,,1,9,,8,,,5,3,3,,,7,1,,,,30.28,8.51,unsat,0.05,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0117.smt2,,13,,18,15,,,7,3,1,7,7,,6,12,,22,2,10,63,3,51,,,33,28,,,,43,,11,2,,31.32,15.07,sat,0.20,0.09,0.04,,0.00,0.00,0.00,0.01,0.18,0.02,,0.14,0.01,0.02,0.02,0.02,0.00,0.01
chc-lia-nonlin-0118.smt2,26,224,,145,41,79,,,16,1,26,26,,257,125,,184,173,1,1944,4,325,,,124,1067,44,,2,276,21,154,173,20,218.12,131.47,unsat,3.84,2.69,1.55,,0.10,0.00,0.00,0.05,3.74,1.51,,2.12,0.16,0.17,0.41,0.25,0.00,0.20
chc-lia-nonlin-0119.smt2,,11,,20,15,2,,6,3,1,7,7,,6,14,,24,2,10,64,,53,,,35,27,,,,43,,11,2,,32.04,15.29,sat,0.21,0.09,0.05,,0.00,0.00,0.00,0.01,0.19,0.02,,0.15,0.01,0.02,0.03,0.02,0.00,0.01
chc-lia-nonlin-0120.smt2,,13,,18,15,,,7,3,1,7,7,,6,12,,21,2,10,63,3,51,,,33,28,,,,43,,11,2,,31.32,15.07,sat,0.26,0.11,0.05,,0.00,0.00,0.00,0.01,0.23,0.02,,0.17,0.02,0.02,0.03,0.02,0.00,0.01
chc-lia-nonlin-0121.smt2,,15,,21,18,,13,9,4,1,9,9,,23,14,,34,15,14,106,11,66,,,28,39,1,,,55,1,9,15,,34.40,16.77,sat,0.29,0.13,0.05,0.02,0.00,0.00,0.00,0.01,0.26,0.03,,0.19,0.02,0.02,0.03,0.03,0.00,0.01
chc-lia-nonlin-0122.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,29.88,8.25,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0123.smt2,,,,,,,,,,,2,2,,,3,,,,3,3,,6,,,3,1,,,,3,,,,,20.92,8.64,sat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0124.smt2,3,,,1,,3,,,1,,3,3,,,6,,2,,1,11,,9,,,6,4,3,,,7,1,,,,31.00,8.80,unsat,0.05,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0125.smt2,,,,,,,,,,,3,3,,,5,,2,,5,7,2,11,,,6,2,,,,7,,,,,21.16,8.70,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0126.smt2,,,,,,,,,,,1,1,,,2,,,,2,1,,3,,,2,1,,,,1,,,,,18.20,6.83,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0127.smt2,,,,,,,,1,,,3,3,,,10,,2,,9,6,,16,,,11,,,,,12,,,,,21.96,9.26,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.03,0.00,0.00,0.01,0.00,,
chc-lia-nonlin-0128.smt2,,,,18,6,9,,5,4,2,6,6,,,20,,14,,13,81,4,35,,,39,43,8,3,,28,21,,3,2,44.84,22.76,sat,0.24,0.12,0.06,,0.00,0.00,0.00,0.01,0.21,0.03,0.00,0.15,0.02,0.01,0.03,0.01,0.00,0.01
chc-lia-nonlin-0129.smt2,7,,,10,5,4,,,1,,5,5,,,9,,11,,1,25,,19,,,21,4,7,,,17,5,,,,39.56,13.51,unsat,0.12,0.04,0.02,,0.00,0.00,0.00,0.01,0.09,0.01,0.00,0.07,0.01,0.01,0.01,0.01,,0.01
chc-lia-nonlin-0130.smt2,,3,,18,8,8,,6,6,2,7,7,,1,23,,25,,21,129,2,53,,,58,83,11,8,,43,31,1,8,5,60.08,34.23,sat,0.40,0.22,0.10,,0.00,0.00,0.00,0.02,0.36,0.05,0.01,0.28,0.03,0.02,0.07,0.03,0.00,0.02
chc-lia-nonlin-0131.smt2,10,5,,20,12,6,,,1,,7,7,,2,13,,22,,1,46,,31,,,30,6,11,,,28,7,,,,42.44,15.58,unsat,0.19,0.08,0.04,,0.00,0.00,0.00,0.01,0.16,0.01,0.00,0.13,0.01,0.01,0.01,0.01,,0.02
chc-lia-nonlin-0132.smt2,15,15,,24,15,7,,,3,2,9,9,,7,20,,29,,1,79,,49,,,47,17,15,2,,46,5,8,2,1,54.64,22.60,unsat,0.32,0.14,0.08,,0.00,0.00,0.00,0.02,0.29,0.03,0.01,0.22,0.03,0.02,0.02,0.02,0.00,0.05
chc-lia-nonlin-0133.smt2,,27,,30,11,9,31,10,12,3,10,10,2,17,44,,51,,50,415,3,116,,,162,315,47,33,2,123,82,6,36,26,125.68,75.61,sat,1.75,1.18,0.56,0.07,0.01,0.00,0.00,0.06,1.65,0.33,0.03,1.28,0.10,0.08,0.33,0.13,0.00,0.10
chc-lia-nonlin-0134.smt2,,65,,21,15,,33,13,17,3,14,14,12,40,56,,63,,61,529,8,172,,,202,360,51,47,1,170,95,13,55,36,142.52,81.88,sat,3.29,2.27,1.14,0.08,0.02,0.00,0.00,0.11,3.14,0.69,0.04,2.40,0.17,0.15,0.58,0.32,0.00,0.16
chc-lia-nonlin-0135.smt2,,93,,22,13,,8,14,22,3,15,15,16,55,65,,52,1,84,822,7,210,,,247,657,53,68,1,198,100,41,77,50,217.68,131.24,sat,5.50,4.21,1.94,0.04,0.02,0.00,0.00,0.11,5.33,1.55,0.05,3.72,0.19,0.22,1.06,0.41,0.00,0.21
chc-lia-nonlin-0136.smt2,25,56,,31,21,7,,,9,3,14,14,3,34,31,,59,,1,210,,107,,5,85,68,25,17,1,101,5,27,17,2,87.24,39.56,unsat,0.85,0.45,0.27,,0.01,0.00,0.00,0.05,0.79,0.10,0.01,0.63,0.08,0.05,0.05,0.08,0.00,0.13
chc-lia-nonlin-0137.smt2,,,,,,,,1,,,3,3,,,5,,1,,4,7,1,10,,,5,2,,,,6,,,,,21.00,8.57,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0138.smt2,,,,,,,,,,,2,2,,,3,,,,3,3,,6,,,3,1,,,,3,,,,,20.96,8.43,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0139.smt2,,,,,,,,2,,,3,3,,,14,,2,,6,21,,19,,,13,9,,,,15,3,,,,109.72,62.21,sat,0.45,0.32,0.15,,0.00,0.01,0.00,0.00,0.36,0.05,0.00,0.31,0.01,0.00,0.15,0.00,,
chc-lia-nonlin-0140.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,29.80,8.23,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0141.smt2,,,,,,,,1,,,3,3,,,4,,2,,3,6,,9,,,4,1,,,,5,,,,,20.96,8.60,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0142.smt2,,,,,,,,1,,,3,3,,,4,,2,,3,6,,9,,,4,1,,,,5,,,,,20.96,8.65,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0143.smt2,,,,,,,,2,,,4,4,,,23,,2,,21,12,,32,,,22,,,,,28,5,,,,40.60,14.89,sat,0.11,0.04,0.02,,0.00,0.01,0.00,0.01,0.08,0.00,,0.06,0.01,0.00,0.02,0.00,,
chc-lia-nonlin-0144.smt2,3,,,,,,,,,,3,3,,,9,,1,,2,14,,12,,,9,8,3,,,11,5,,,,71.80,28.45,unsat,0.18,0.13,0.04,,0.00,0.01,0.00,0.00,0.15,0.01,,0.13,0.00,0.00,0.03,0.00,,0.00
chc-lia-nonlin-0145.smt2,12,17,,30,17,6,,,5,1,12,12,,21,29,,26,,6,144,2,78,,,35,56,12,,2,74,1,14,8,,44.80,17.11,unsat,0.32,0.13,0.08,,0.00,0.00,0.00,0.01,0.29,0.04,,0.20,0.03,0.02,0.02,0.02,0.00,0.02
chc-lia-nonlin-0146.smt2,,25,,69,48,7,,12,5,2,16,16,,31,36,,95,7,52,620,9,183,,,110,344,14,5,4,161,9,31,15,3,76.16,44.45,sat,1.31,0.83,0.45,0.00,0.02,0.00,0.00,0.03,1.26,0.30,,0.89,0.07,0.10,0.29,0.07,0.00,0.04
chc-lia-nonlin-0147.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,30.16,8.45,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0148.smt2,,5,,15,12,1,,7,8,2,8,8,,3,29,,21,,32,198,4,64,,,81,157,35,16,,60,84,5,16,13,80.56,44.40,sat,0.67,0.40,0.21,,0.00,0.00,0.00,0.03,0.61,0.11,0.01,0.48,0.04,0.03,0.12,0.05,0.00,0.03
chc-lia-nonlin-0149.smt2,,,,,,,,2,,,4,4,,,5,,2,,3,8,,11,,,6,,1,,,6,3,,,,28.52,11.96,sat,0.07,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.03,0.00,0.00,0.01,0.00,,
chc-lia-nonlin-0150.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,30.12,8.36,unsat,0.05,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0151.smt2,,,,,,,,,,,2,2,,,3,,,,4,4,,7,,,4,2,,,,4,,,,,22.44,9.28,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0152.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,30.68,8.48,unsat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0153.smt2,,,,,,,,,,,2,2,,,11,,,,11,11,6,14,,,11,9,,,,11,,,,,24.04,10.68,sat,0.05,0.02,0.00,,,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0154.smt2,3,,,,,,,,,,3,3,,,13,,1,,7,19,5,16,,,14,11,3,,,15,1,,,,34.44,11.04,unsat,0.07,0.02,0.01,,0.00,0.00,0.00,0.00,0.05,0.01,,0.03,0.01,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0155.smt2,,,,12,9,6,,6,7,2,7,7,,2,36,,19,1,30,143,6,61,,,60,98,13,5,,54,42,3,8,7,56.04,27.06,sat,0.38,0.19,0.09,,0.00,0.00,0.00,0.02,0.33,0.05,0.01,0.25,0.03,0.02,0.05,0.01,0.00,0.02
chc-lia-nonlin-0156.smt2,6,,,7,4,6,,,2,,6,6,,,14,,8,,2,40,,24,,,23,11,11,,,24,16,,,,46.40,15.95,unsat,0.15,0.06,0.03,,0.00,0.00,0.00,0.01,0.12,0.01,0.00,0.09,0.01,0.01,0.01,0.00,,0.02
chc-lia-nonlin-0157.smt2,2,,,,,,,,,,2,2,,,4,,,,,3,,6,,,4,,2,,,5,3,,,,35.08,9.79,unsat,0.04,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0158.smt2,,,,6,2,7,,4,4,2,6,6,,1,30,,19,,24,102,5,48,,,41,57,5,1,,41,25,,3,3,47.60,22.70,sat,0.26,0.12,0.05,,0.00,0.00,0.00,0.01,0.22,0.04,0.00,0.16,0.02,0.02,0.03,0.01,0.00,0.01
chc-lia-nonlin-0159.smt2,,,,2,2,,,3,1,,4,4,,,19,,4,,19,48,3,30,,,25,35,2,,,26,11,,,,36.48,16.27,sat,0.15,0.07,0.03,,0.00,0.00,0.00,0.01,0.12,0.01,0.00,0.09,0.01,0.01,0.02,0.00,,0.01
chc-lia-nonlin-0160.smt2,,,,,,,,2,,,3,3,,,14,,1,,9,22,,19,,,11,11,,,,15,5,,,,29.60,12.21,sat,0.08,0.03,0.01,,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.04,0.01,0.00,0.01,0.00,,
chc-lia-nonlin-0161.smt2,,,,18,12,7,,7,11,2,9,9,,2,44,,33,3,43,214,12,82,,,97,151,23,11,,75,66,1,16,13,73.24,37.98,sat,0.59,0.32,0.14,,0.00,0.00,0.00,0.03,0.54,0.09,0.01,0.41,0.05,0.04,0.08,0.04,0.00,0.03
chc-lia-nonlin-0162.smt2,10,2,,21,15,8,,,2,,9,9,,,23,,24,,2,80,1,45,,,46,18,24,,,48,36,,,,54.56,19.76,unsat,0.30,0.13,0.07,,0.00,0.00,0.00,0.02,0.26,0.02,0.01,0.20,0.03,0.01,0.02,0.01,,0.04
chc-lia-nonlin-0163.smt2,15,8,,32,23,13,,,2,,12,12,,1,24,,26,,3,122,3,58,,,75,44,37,,,65,47,,,,67.36,27.14,unsat,0.44,0.21,0.12,,0.00,0.00,0.00,0.03,0.39,0.04,0.01,0.31,0.04,0.02,0.03,0.02,,0.08
chc-lia-nonlin-0164.smt2,,19,,36,24,15,,12,23,2,14,14,,6,78,,34,2,64,537,23,140,,,175,428,71,38,1,141,169,2,42,36,133.12,74.33,sat,1.77,1.15,0.51,,0.01,0.00,0.00,0.07,1.67,0.38,0.03,1.23,0.11,0.09,0.27,0.12,0.00,0.10
chc-lia-nonlin-0165.smt2,20,28,,41,32,10,,,6,2,15,15,,14,41,,32,,7,227,39,91,,,95,112,55,3,,102,67,15,3,1,92.08,41.58,unsat,0.71,0.36,0.19,,0.00,0.00,0.00,0.05,0.65,0.08,0.02,0.51,0.07,0.03,0.04,0.03,0.00,0.12
chc-lia-nonlin-0166.smt2,,206,,58,38,18,14,17,43,2,20,20,,23,119,,53,4,205,2738,32,380,,,495,2537,235,200,2,389,602,13,214,190,464.16,279.02,sat,12.39,9.56,3.65,0.06,0.02,0.00,0.00,0.23,12.03,3.86,0.07,8.09,0.39,0.47,2.21,0.95,0.00,0.47
chc-lia-nonlin-0167.smt2,25,164,,63,48,13,3,,38,3,19,19,10,40,188,,46,4,7,365,4,299,,,360,167,206,133,3,314,472,24,137,123,203.60,95.06,unsat,5.87,3.97,2.34,0.00,0.01,0.00,0.00,0.19,5.76,0.18,0.06,5.51,0.29,0.35,1.45,0.74,0.00,0.43
chc-lia-nonlin-0168.smt2,,,,6,4,,,4,4,1,10,10,,9,18,2,24,21,34,147,3,91,,,52,53,14,,,74,14,34,27,10,53.08,28.58,sat,0.58,0.34,0.20,,0.00,0.00,0.00,0.01,0.54,0.06,,0.44,0.03,0.04,0.16,0.04,0.00,0.01
chc-lia-nonlin-0169.smt2,,,,,,,,,,,1,1,,,2,,,,2,,,3,,,2,,,,,1,,,,,23.56,9.84,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0170.smt2,,,,,,,,2,,,4,4,,,11,,3,,8,32,,18,,,11,22,,,,13,,,,,29.44,14.02,sat,0.08,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,,0.03,0.01,0.00,0.00,0.00,,
chc-lia-nonlin-0171.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,34.08,10.49,unsat,0.04,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0172.smt2,,,,,,,,2,,,4,4,,,20,,2,,15,43,5,30,,,22,24,,,,25,,,,,34.44,16.99,sat,0.14,0.07,0.03,,0.00,0.00,0.00,0.01,0.10,0.02,,0.07,0.01,0.00,0.01,0.00,,
chc-lia-nonlin-0173.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,35.52,11.46,unsat,0.04,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0174.smt2,,,,,,,,3,4,1,14,14,,11,34,1,90,13,84,669,7,181,,,97,397,,,,159,,63,18,,191.16,123.74,sat,2.90,2.16,1.27,,0.03,0.00,0.00,0.05,2.75,0.69,,2.01,0.13,0.20,1.02,0.05,0.00,
chc-lia-nonlin-0175.smt2,4,,,,,,,,,,4,4,,,17,,3,,2,27,2,23,,,20,9,4,,,22,1,,,,41.88,15.72,unsat,0.13,0.05,0.03,,0.00,0.00,0.00,0.00,0.09,0.01,,0.07,0.01,0.01,0.01,0.00,,0.01
chc-lia-nonlin-0176.smt2,,,,,,,,3,,,7,7,,,19,,17,,16,75,3,42,,,17,32,,,,34,,,,,43.72,23.83,sat,0.27,0.16,0.09,,0.00,0.00,0.00,0.01,0.22,0.04,,0.17,0.02,0.01,0.07,0.00,,
chc-lia-nonlin-0177.smt2,,,,,,,,3,4,1,14,14,,11,34,1,90,13,84,669,7,181,,,97,397,,,,159,,63,18,,191.12,123.74,sat,2.92,2.19,1.29,,0.03,0.00,0.00,0.05,2.78,0.69,,2.04,0.13,0.20,1.04,0.05,0.00,
chc-lia-nonlin-0178.smt2,,,,,,,,3,3,1,10,10,,6,28,2,34,8,52,399,3,131,,,69,249,,,,114,,45,11,,122.28,76.55,sat,1.53,1.10,0.58,,0.01,0.00,0.00,0.03,1.44,0.39,,1.02,0.09,0.10,0.43,0.03,0.00,
chc-lia-nonlin-0179.smt2,,,,,,,,2,,,6,6,,,20,,9,,15,54,3,41,,,16,21,,,,34,,,,,42.08,23.06,sat,0.25,0.15,0.09,,0.00,0.00,0.00,0.01,0.21,0.03,,0.16,0.02,0.01,0.07,0.00,,
chc-lia-nonlin-0180.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,38.80,13.08,unsat,0.05,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0181.smt2,,,,,,,,2,,,5,5,,,19,,6,,16,53,3,34,,,15,26,,,,28,,,,,39.88,21.51,sat,0.21,0.12,0.07,,0.00,0.00,0.00,0.01,0.17,0.02,,0.13,0.02,0.01,0.05,0.00,,
chc-lia-nonlin-0182.smt2,2,,,,,,,,,,2,2,,,2,,,,,2,,3,,,2,,2,,,2,1,,,,39.56,14.03,unsat,0.05,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00
chc-lia-nonlin-0183.smt2,6,,,,,,,,,,6,6,,,12,,8,,4,40,1,27,,,21,16,6,,,26,1,,,,40.24,14.28,unsat,0.13,0.05,0.03,,0.00,0.00,0.00,0.01,0.09,0.01,,0.06,0.01,0.00,0.00,0.00,,0.01
chc-lia-nonlin-0184.smt2,,,,,,,,5,,,7,7,,,23,,16,,17,87,2,38,,,25,56,4,,,33,11,,,,98.24,35.32,sat,0.19,0.08,0.03,,0.00,0.01,0.00,0.01,0.14,0.03,0.00,0.09,0.01,0.00,0.01,0.00,,0.01
chc-lia-nonlin-0185.smt2,,,,,,,,,,,2,2,,,3,,,,4,4,,7,,,4,2,,,,4,,,,,30.00,13.87,sat,0.05,0.01,0.00,,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,
chc-lia-nonlin-0186.smt2,34,539,,135,7,109,1,,32,4,33,33,41,156,554,198,571,48,56,4977,23,1206,58,,1331,2308,56,104,34,1397,17,358,166,19,499.36,280.22,unsat,47.28,36.88,24.42,0.02,0.97,0.00,0.00,0.60,47.06,14.01,,32.87,2.49,2.88,9.66,2.56,0.00,0.60
